"child","age"
"SOD_9858",13
"SOD_8445",8
"SOD_9854",17
"SOD_3542",2
"SOD_4736",9
"SOD_8924",11
"SOD_4483",5
"SOD_1499",32
"SOD_9527",12
"SOD_3634",14
"ROW_1768",21
"ROW_3486",31
"ROW_9801",19
"ROW_9408",27
"ROW_2745",18
"ROW_1156",25
"ROW_8357",12
"ROW_1735",21
"ROW_9492",15
"ROW_7798",11
"BER_1618",7
"BER_5750",7
"BER_3895",8
"BER_1196",9
"BER_1844",10
"BER_6035",12
"BER_2927",13
"BER_3749",14
"BER_0396",15
"BER_7758",17
"WAR_3528",6
"WAR_9755",3
"WAR_3090",3
"WAR_4995",9
"WAR_5959",9
"WAR_2535",3
"WAR_9398",6
"WAR_1130",9
"WAR_5613",6
"WAR_9427",9
